date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:06:35	288580/288580	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-46744%22	https://code.jquery.com/jquery-3.6.0.js	C:/Meus%20Sites/https___combateafome.org.br_/code.jquery.com/jquery-3.6.0.js	(from https://combateafome.org.br/)
03:06:36	254916/254916	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2014:45:13%20GMT	https://combateafome.org.br/js/jquery-ui.min.js	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/js/jquery-ui.min.js	(from https://combateafome.org.br/)
03:06:37	8327/8327	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2014:45:13%20GMT	https://combateafome.org.br/js/jquery.mask.min.js	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/js/jquery.mask.min.js	(from https://combateafome.org.br/)
03:06:37	30/30	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Aug%202022%2014:45:13%20GMT	https://combateafome.org.br/js/main.js	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/js/main.js	(from https://combateafome.org.br/)
03:06:38	155845/155845	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2014:44:34%20GMT	https://combateafome.org.br/css/bootstrap.min.css	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/bootstrap.min.css	(from https://combateafome.org.br/css/main.css)
03:06:38	30801/30801	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2014:44:34%20GMT	https://combateafome.org.br/css/jquery-ui.min.css	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/jquery-ui.min.css	(from https://combateafome.org.br/css/main.css)
03:06:38	97/97	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2014:44:34%20GMT	https://combateafome.org.br/css/config.css	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/config.css	(from https://combateafome.org.br/css/main.css)
03:06:38	4330/4330	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2014:44:34%20GMT	https://combateafome.org.br/css/custom.css	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/custom.css	(from https://combateafome.org.br/css/main.css)
03:06:39	1362/1362	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2014:44:34%20GMT	https://combateafome.org.br/css/responsive.css	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/responsive.css	(from https://combateafome.org.br/css/main.css)
03:06:40	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Oct%202022%2011:10:46%20GMT	https://combateafome.org.br/css/images/ui-icons_444444_256x240.png	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/images/ui-icons_444444_256x240.png	(from https://combateafome.org.br/css/jquery-ui.min.css)
03:06:40	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Oct%202022%2011:10:46%20GMT	https://combateafome.org.br/css/images/ui-icons_555555_256x240.png	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/images/ui-icons_555555_256x240.png	(from https://combateafome.org.br/css/jquery-ui.min.css)
03:06:41	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Oct%202022%2011:10:46%20GMT	https://combateafome.org.br/css/images/ui-icons_ffffff_256x240.png	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/images/ui-icons_ffffff_256x240.png	(from https://combateafome.org.br/css/jquery-ui.min.css)
03:06:41	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Oct%202022%2011:10:46%20GMT	https://combateafome.org.br/css/images/ui-icons_777620_256x240.png	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/images/ui-icons_777620_256x240.png	(from https://combateafome.org.br/css/jquery-ui.min.css)
03:06:41	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Oct%202022%2011:10:46%20GMT	https://combateafome.org.br/css/images/ui-icons_cc0000_256x240.png	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/images/ui-icons_cc0000_256x240.png	(from https://combateafome.org.br/css/jquery-ui.min.css)
03:06:42	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Oct%202022%2011:10:46%20GMT	https://combateafome.org.br/css/images/ui-icons_777777_256x240.png	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/css/images/ui-icons_777777_256x240.png	(from https://combateafome.org.br/css/jquery-ui.min.css)
03:06:42	79316/79316	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2014:42:32%20GMT	https://combateafome.org.br/assets/actbanner.jpg	C:/Meus%20Sites/https___combateafome.org.br_/combateafome.org.br/assets/actbanner.jpg	(from https://combateafome.org.br/css/custom.css)
